Fighter name,Ko wins,Ko losses,Submission wins,Submission losses,Decision wins,Decision losses
Phil Harris (fighter),4,5,13,5,5,2
Walt Harris (fighter),13,2,0,1,0,3
Andre Harrison,3,0,2,0,16,1
Dale Hartt,4,1,2,2,0,0
Clay Harvison,6,2,4,4,3,1
Lee Hasdell,9,4,5,7,1,5
Carlton Haselrig,3,2,0,0,0,0
Chris Haseman,2,7,14,4,3,6
Daiki Hata,9,0,1,0,7,10
John Hathaway,5,1,4,0,8,1
Rick Hawn,11,1,0,1,10,2
Tomoaki Hayama,0,0,2,1,0,2
Mike Hayes (fighter),7,1,7,0,6,11
Josh Haynes,6,5,9,1,2,5
Dustin Hazelett,1,4,9,2,2,1
James Head (fighter),4,1,3,2,2,1
Pat Healy (fighter),7,7,15,6,12,11
Ryan Healy,13,4,6,1,6,9
David Heath (fighter),7,1,8,3,3,3
Jake Hecht,3,0,5,1,3,3
Nick Hein,1,2,4,1,9,2
Marcin Held,4,1,14,1,8,5
Benson Henderson,3,1,11,2,14,5
Dan Henderson,16,3,2,4,14,8
Johny Hendricks,8,3,1,0,9,5
Luis Henrique (fighter),3,3,6,0,3,3
Dave Herman (fighter),15,4,5,1,2,0
Ed Herman (fighter),7,3,13,6,4,5
Jack Hermansson,11,2,5,2,4,1
Geane Herrera,2,0,6,0,2,3
Heath Herring,7,4,16,2,4,10
Jared Hess (fighter),3,3,8,0,0,1
Jon Hess (fighter),1,1,0,0,0,0
Clint Hester,7,2,1,3,3,1
Jimy Hettes,0,2,10,0,1,1
Conor Heun,1,1,3,0,5,4
Marcus Hicks,2,2,8,0,0,2
Jay Hieron,6,4,7,0,10,3
Jason High,5,4,8,3,8,1
Corey Hill,2,3,3,3,1,3
Branden Lee Hinkle,10,2,5,8,2,1
Hatsu Hioki,4,3,13,1,12,7
Mizuto Hirota,10,1,0,1,8,9
Matt Hobar,1,2,4,0,4,1
Bobby Hoffman,15,1,14,5,7,4
Sam Hoger,3,0,6,1,1,3
Andrew Holbrook,1,3,9,0,2,0
Mark Holata,3,4,5,1,4,0
Chris Holdsworth,0,0,5,0,1,0
Roger Hollett,4,1,7,1,2,3
Max Holloway,10,0,2,1,9,3
Paddy Holohan,1,0,8,1,3,1
Mark Hominick,9,3,7,5,4,4
Chris Honeycutt,5,1,1,0,5,2
Satoshi Honma,1,2,3,2,0,2
Darrell Horcher,6,1,1,1,6,2
Kyoji Horiguchi,14,1,3,1,11,1
Jeremy Horn,16,2,63,9,12,11
Dan Hornbuckle,9,0,11,3,4,6
Chris Horodecki,7,4,4,2,10,1
Matt Horwich,6,1,21,5,3,19
Jeff Hougland,1,1,7,3,2,2
Harold Howard,1,3,0,0,0,0
John Howard (fighter),10,4,7,2,11,9
Tom Howard (wrestler),0,1,0,0,0,0
Shane Howell,4,1,7,5,2,4
Roger Huerta,12,5,5,2,5,4
Mark Hughes (fighter),2,0,2,1,2,1
Matt Hughes (fighter),16,5,19,4,10,0
Matt Hume,2,0,3,2,0,3
Mark Hunt,10,5,0,7,3,2
Solomon Hutcherson,5,4,4,2,2,1
Al Iaquinta,7,0,1,3,6,3
Fabiano Iha,3,3,6,0,0,2
Hisao Ikeda,1,2,2,0,7,3
Seichi Ikemoto,8,2,4,6,9,11
Junji Ikoma,1,3,9,2,4,9
Mikhail Ilyukhin,0,2,28,9,2,0
Toby Imada,8,4,20,6,2,7
Masakazu Imanari,1,4,26,0,10,14
Brad Imes,2,3,9,1,2,3
Egan Inoue,3,3,8,0,1,4
Enson Inoue,3,5,9,1,0,2
Naoki Inoue,0,0,7,0,4,2
Takeshi Inoue (mixed martial artist),11,1,4,1,9,10
James Irvin (fighter),12,5,3,4,1,1
Mitsuhiro Ishida,3,4,2,1,15,3
Satoshi Ishii,2,5,10,0,10,4
Yoshimasa Ishikawa,1,2,1,3,1,0
Shintaro Ishiwatari,9,4,2,1,15,2
Takashi Ishizaki,0,0,0,2,1,2
Kendo Kashin,1,4,0,1,0,0
Wallid Ismail,2,1,5,0,2,2
Leandro Issa,2,4,11,2,4,2
Junji Ito (fighter),8,0,1,3,4,2
Takenori Ito,0,0,2,1,4,2
Yuji Ito (fighter),2,2,2,2,1,0
Blagoy Ivanov,6,0,6,1,6,1
Hiroshi Izumi,2,2,0,0,2,0
Yves Jabouin,11,5,1,4,8,2
Damon Jackson,3,2,12,1,1,0
Jeremy Jackson (fighter),6,1,2,4,1,0
Quinton Jackson,19,3,5,2,14,7
Dustin Jacoby,8,1,1,2,1,2
Ryan Janes,2,0,6,1,2,2
Keith Jardine,8,6,2,0,7,5
Antoine Jaoude,4,1,1,0,3,2
Dave Jansen,1,0,10,0,9,4
Bubba Jenkins,6,2,3,2,5,0
Trent Jenkins,0,1,0,3,0,0
Steve Jennum,0,0,2,3,0,0
Ryan Jensen (fighter),8,1,13,7,0,0
Maciej Jewtuszko,6,1,6,0,0,3
Ronald Jhun,12,5,5,14,7,7
Ryan Jimmo,8,2,2,1,9,2
Brett Johns,2,0,5,0,8,2
Anthony Johnson (fighter),16,1,0,5,6,0
DaMarques Johnson,6,5,8,8,2,2
Demetrious Johnson,5,0,12,0,12,3
Jordan Johnson (fighter),1,0,5,0,4,1
Lavar Johnson,16,2,2,7,0,1
Michael Johnson (fighter),8,2,2,8,9,4
Timothy Johnson (fighter),5,3,4,1,3,2
Brian Johnston (fighter),1,1,4,5,0,0
Jon Jones,10,0,6,0,9,0
Marcus Jones (athlete),3,2,1,0,0,0
Nathan Jones (wrestler),0,0,0,1,0,0
Paul Jones (mixed martial artist),0,1,7,0,2,0
Kevin Jordan (fighter),3,4,4,2,4,3
Shawn Jordan,15,5,3,0,1,4
Ivan Jorge,3,5,13,1,11,2
Scott Jorgensen,2,2,5,4,8,6
Krzysztof Jotko,6,2,1,1,14,1
Alan Jouban,11,3,0,1,5,3
Jesse Juarez,6,4,8,7,8,2
Luke Jumeau,5,0,4,2,4,3
Jung Bu-kyung,0,2,0,0,0,2
Chan Sung Jung,5,3,8,0,2,2
Myles Jury,8,1,5,1,4,3
Hideki Kadowaki,0,5,7,4,9,8
Martin Kampmann,8,5,7,0,4,2
Masanori Kanehara,9,4,11,4,7,4
Denis Kang,13,6,16,8,6,2
Hiroyuki Kanno,0,0,3,4,3,0
Kang Kyung-ho,2,1,11,1,3,5
Georgi Karakhanyan,7,3,14,0,7,7
Alex Karalexis,5,3,1,2,4,1
Joop Kasteel,8,8,8,4,1,0
Calvin Kattar,9,0,3,1,8,2
Tetsuji Kato,3,2,8,2,9,6
Kenji Kawaguchi,3,3,10,4,1,0
Tatsuya Kawajiri,12,3,10,4,14,6
Ryo Kawamura,9,5,0,0,7,4
Chris Kelades,2,0,4,1,7,3
Dan Kelly (fighter),3,3,5,0,5,1
Paul Kelly (fighter),7,1,4,2,3,2
Tim Kennedy (fighter),6,3,8,0,4,3
Will Kerr,2,2,4,1,3,0
Ron Keslar,1,5,5,2,5,3
Rustam Khabilov,4,0,5,1,14,3
Mamed Khalidov,13,1,17,3,4,2
Sergei Kharitonov,17,3,10,2,2,1
Magomedrasul Khasbulaev,8,0,15,4,7,4
Akira Kikuchi,5,1,7,0,4,3
Katsunori Kikuno,13,3,3,1,8,4
Sanae Kikuta,4,4,17,2,10,3
Dong Hyun Ma,6,4,6,2,4,4
Kim Jong-man,5,1,14,4,4,6
Kim Min-soo (judoka),1,5,2,2,0,0
Jeremy Kimball,12,2,1,6,3,0
Rob Kimmons,5,3,16,4,4,2
Dustin Kimura,2,0,8,1,1,2
Koichiro Kimura,0,0,1,2,0,0
Kyle Kingsbury,4,2,2,1,5,3
Satoru Kitaoka,0,10,20,0,22,10
Drakkar Klose,4,0,0,0,7,1
Kevin Knabjian,6,3,6,3,0,1
Jason Knight (fighter),3,1,13,0,4,5
Fatih Kocamis,3,3,4,2,1,3
Erik Koch,4,2,8,0,4,4
Junya Kodo,3,0,2,5,5,2
Toru Koga,0,2,0,1,0,0
Brad Kohler,6,6,10,9,0,0
Hiroyuki Kojima,0,2,2,0,2,2
Naoto Kojima,0,1,0,2,1,2
Shinichi Kojima,2,0,7,1,5,5
John Kolosci,3,2,5,5,7,2
Yuki Kondo,19,6,17,9,24,20
Cheick Kongo,14,3,4,1,12,6
Masayuki Kono,2,3,1,2,0,0
Cole Konrad,1,0,3,0,5,0
Andrei Kopylov,0,3,3,3,2,4
Andrey Koreshkov,12,2,3,1,7,1
Tsuyoshi Kosaka,7,9,9,4,9,7
Josh Koscheck,5,4,5,3,7,4
Naoyuki Kotani,6,7,26,2,3,7
James Krause (fighter),7,1,14,2,5,4
Pascal Krauss,2,1,7,0,2,1
Emil Kristev,0,1,0,2,1,0
Nikita Krylov,10,1,15,5,0,1
Misaki Kubota,0,0,0,0,0,2
Alexey Kudin,19,2,0,3,5,6
Michael Kuiper,9,1,5,4,1,1
Anton Kuivanen,7,7,8,3,11,1
Kiichi Kunimoto,2,2,9,2,7,4
Kiuma Kunioku,3,7,13,4,18,14
Masakazu Kuramochi,0,5,0,3,4,4
Kazuhiro Kusayanagi,0,6,9,4,0,7
Takuya Kuwabara,1,0,2,0,5,3
Kwan Ho Kwak,6,1,0,0,3,1
Mike Kyle,17,8,2,5,4,4
Achmed Labasanov,2,1,5,1,1,3
Ryan LaFlare,4,2,3,0,7,1
Tim Lajcik,4,3,2,2,1,1
Ricardo Lamas,6,5,5,0,8,3
Jason Lambert,13,7,9,3,4,3
Aung La Nsang,11,4,12,2,2,4
Chad Laprise,7,3,1,0,5,1
Anthony Lapsley,3,1,16,4,5,2
Lorenz Larkin,11,2,0,0,10,5
Jeremy Larsen,2,3,3,1,3,1
Brock Larson,9,3,27,2,5,5
Bobby Lashley,4,1,8,0,3,1
Ilir Latifi,6,4,4,0,4,3
Jenel Lausa,2,0,2,2,3,3
Dan Lauzon,9,3,7,2,1,1
Joe Lauzon,7,6,18,3,2,6
Robbie Lawler,20,2,1,6,7,6
Tom Lawlor,4,0,4,2,2,4
Justin Lawrence,5,1,1,1,5,3
Eric Lawson,2,1,5,4,2,0
Jani Lax,2,5,6,3,2,0
Chris Leben,12,4,5,2,5,5
Justin Ledet,2,1,5,0,2,1
Vaughan Lee (fighter),4,4,7,6,3,4
Ricky Legere,8,3,9,2,2,2
Thales Leites,4,1,15,1,9,7
Jesse Lennox,8,0,6,2,0,2
Nik Lentz,11,3,8,2,11,5
Anthony Leone,0,1,9,4,7,3
Fábio Leopoldo,1,2,2,1,2,0
Kimo Leopoldo,2,2,8,4,0,1
Justin Levens,7,4,2,2,0,2
Marcus LeVesseur,10,4,7,3,5,0
Derrick Lewis (fighter),18,4,1,1,2,2
Li Jingliang,7,0,5,1,5,4
Jess Liaudin,5,6,12,1,3,4
Zach Light,2,3,4,8,3,0
Chris Liguori,5,2,5,5,5,3
Lim Hyun-gyu,10,2,2,2,2,3
Daniel Lima,1,0,4,0,3,4
Dhiego Lima,4,4,4,1,7,2
Douglas Lima,14,1,12,1,5,5
Rodrigo Lima,3,0,6,2,4,2
Matt Lindland,8,4,7,4,6,1
Jake Lindsey (fighter),3,6,2,11,25,1
John Lineker,14,0,4,3,12,6
Philipe Lins,8,3,4,0,2,0
Dean Lister,0,0,11,0,2,7
Abner Lloveras,8,3,6,1,8,7
John Lober,1,2,3,4,1,3
David Loiseau,15,2,3,2,5,7
Matthew Lopez,4,2,4,1,2,1
Nate Loughran,1,1,8,1,2,0
Ian Loveland,9,1,7,6,2,3
Waylon Lowe,7,2,3,5,6,0
Chris Lozano,8,1,1,1,1,1
Duane Ludwig,12,7,4,6,5,1
Travis Lutter,1,3,7,2,2,1
Chris Lytle,3,2,22,0,6,16
William Macário,6,2,1,2,1,0
Jason MacDonald,3,6,19,5,3,5
Rob MacDonald,2,1,2,2,0,1
Rory MacDonald (fighter),7,3,7,0,7,2
Gustavo Machado,5,4,5,1,13,5
Murad Machaev,5,0,10,1,6,1
Lyoto Machida,11,3,2,2,13,4
War Machine (mixed martial artist),8,0,6,4,0,1
Anthony Macias,3,5,18,12,2,1
Reza Madadi,3,0,8,0,3,6
Jon Madsen,4,1,0,0,4,1
Akira Maeda,0,0,4,3,0,1
Yoshiro Maeda,15,8,7,5,14,4
Leonardo Mafra,9,2,1,2,4,0
Caio Magalhães,3,1,4,1,3,4
Vinicius Magalhães (Draculino),0,1,1,0,1,0
Vinny Magalhães,3,4,15,1,1,6
Neil Magny,7,2,3,4,11,1
Rashid Magomedov,10,0,1,0,12,3
Ruslan Magomedov,4,1,2,0,8,0
Zabit Magomedsharipov,6,0,7,1,4,0
John Maguire (fighter),3,5,16,0,7,8
Demian Maia,3,1,13,0,11,8
Eduardo Maiorino,2,5,0,4,1,0
John Makdessi,9,2,0,1,8,3
Islam Makhachev,3,1,7,0,8,0
Zach Makovsky,1,0,7,3,12,6
Nazareno Malegarie,9,0,18,0,7,5
Fábio Maldonado,14,3,4,2,6,7
Nick Mamalis,9,2,12,7,8,3
Melvin Manhoef,28,5,0,7,3,2
Ronnie Mann,5,1,11,2,8,6
Jimi Manuwa,15,5,1,0,1,1
Cristiano Marcello,2,3,9,0,2,3
Ronny Markes,6,3,6,3,7,1
Nate Marquardt,11,5,16,2,8,12
Carmelo Marrero,3,0,7,2,6,4
John Marsh (fighter),1,1,6,2,1,4
Doug Marshall,12,7,4,1,2,0
Eliot Marshall,1,2,5,0,4,2
Jack Marshman,13,4,5,2,5,3
Terry Martin (fighter),14,9,5,0,4,3
Anthony Rocco Martin,1,0,9,2,6,3
Alonzo Martinez,9,6,22,13,9,2
Danny Martinez,9,0,4,0,8,9
Henry Martinez (fighter),2,1,4,0,3,2
Jesus Martinez (fighter),3,5,2,0,4,1
Poppies Martinez,8,4,18,7,3,0
Rad Martinez,6,1,0,1,9,1
Ryan Martinez,5,4,2,0,3,1
Will Martinez,3,0,5,2,2,1
Adriano Martins,13,3,3,0,12,7
Lucas Martins,12,4,5,0,3,1
Zuluzinho,11,6,1,3,1,0
Bristol Marunde,3,5,6,3,7,2
Mike Massenzio,2,3,6,5,5,1
Jorge Masvidal,15,1,2,2,17,10
Daijiro Matsui,2,7,1,3,9,18
Hiroaki Matsutani,0,0,0,2,2,1
A.J. Matthews,6,5,0,0,3,4
Jake Matthews (fighter),4,1,7,2,4,1
Vladimir Matyushenko,9,4,7,2,11,2
Gray Maynard,2,5,0,0,11,2
Ian McCall (fighter),4,2,3,1,6,4
Charles McCarthy (fighter),0,2,10,2,0,1
Jacob McClintock,4,2,5,0,0,0
Sean McCorkle,6,3,13,3,1,1
Kris McCray,1,0,5,2,3,3
Tamdan McCrory,8,2,5,2,1,1
Justin McCully,1,0,6,4,4,1
Bubba McDaniel,9,2,19,7,2,1
Michael McDonald (MMA fighter),10,2,6,2,3,0
Adam McDonough,6,0,3,0,2,1
Drew McFedries,9,2,2,4,1,1
Liam McGeary,7,2,5,1,1,1
Court McGee,3,1,7,0,9,7
Gan McGee,8,3,4,1,0,1
Conor McGregor,18,0,1,4,2,0
Antonio McKee,4,1,5,2,21,3
Cody McKenzie,1,4,14,4,1,2
Tim McKenzie,8,4,5,5,1,0
Tim Means,19,2,4,4,5,5
Yancy Medeiros,8,4,4,1,3,1
Gerald Meerschaert,6,1,21,8,2,2
Derrick Mehmen,11,2,2,2,6,6
Jordan Mein,16,3,7,4,8,5
Brian Melancon,4,0,1,1,2,2
Gilbert Melendez,12,0,0,1,10,7
Fábio Mello,2,3,5,0,4,5
Chad Mendes,8,4,2,0,8,1
Ivan Menjivar,9,1,10,2,6,8
Dave Menne,5,7,19,1,20,9
Jeremiah Metcalf,3,1,8,4,2,2
Yaotzin Meza,5,3,7,3,9,5
Guy Mezger,11,6,6,3,13,5
David Michaud,9,2,4,1,2,2
Taka Michinoku,0,0,0,1,0,0
Zach Micklewright,11,2,1,0,3,1
Unamed,4,3,2,1,4,2
Pat Miletich,5,3,18,3,6,1
Cole Miller,3,2,15,0,3,9
Dan Miller (fighter),1,1,9,0,4,7
Jason Miller (fighter),6,2,14,2,8,6
Jim Miller (fighter),4,2,17,3,10,8
Micah Miller,6,1,10,0,4,7
Phillip Miller,4,0,7,0,4,0
Che Mills,8,5,5,4,3,1
Adam Milstead,6,2,2,0,0,1
Vitaly Minakov,13,0,7,0,2,1
Ikuhisa Minowa,12,15,42,7,10,20
Stipe Miocic,15,2,0,0,4,1
Frank Mir,5,10,9,0,3,3
Mario Miranda (MMA fighter),6,2,5,0,3,5
Vitor Miranda,9,0,2,1,1,6
Rasul Mirzaev,10,0,4,0,4,1
Kazuo Misaki,6,3,9,2,10,6
Dokonjonosuke Mishima,3,2,8,3,10,2
David Mitchell (fighter),2,3,17,0,3,4
Felix Mitchell (fighter),1,3,1,3,0,1
Matt Mitrione,11,3,0,2,2,2
Eiji Mitsuoka,3,3,11,2,4,4
Hiromitsu Miura,7,6,1,0,4,1
Takeshi Miyanaga,0,0,1,0,1,0
Kazuyuki Miyata,1,1,9,6,6,2
Takeya Mizugaki,5,6,1,2,17,6
Eiji Mizuno,0,0,0,1,1,0
Tatsuya Mizuno,7,6,10,3,3,3
Steve Mocco,1,0,3,0,1,1
Nate Mohr,6,1,2,5,1,1
Ashkan Mokhtarian,6,1,6,1,1,1
Hidetaka Monma,2,6,11,0,5,5
Jeff Monson,3,10,38,4,19,12
Darrell Montague,5,3,5,1,3,1
Augusto Montaño,10,1,5,0,0,2
James Moontasri,4,0,3,1,2,4
Homer Moore,5,3,7,3,14,3
Nate Moore,3,2,4,1,1,1
Marlon Moraes,10,3,6,2,6,1
Sérgio Moraes,1,3,8,0,5,2
John Moraga,3,2,8,1,8,4
Ricardo Morais,3,1,6,0,1,3
Christian Morecraft,3,3,5,0,0,0
Joe Moreira,0,0,1,0,1,2
Brandon Moreno,2,0,10,0,3,5
Sammy Morgan (fighter),4,4,14,6,0,2
Unamed,12,1,4,3,0,1
Robson Moura,0,0,0,0,2,1
Gegard Mousasi,26,1,12,3,8,3
Christian M'Pumbu,9,3,8,2,3,6
Mike Mucitelli,1,2,5,0,1,0
Quinn Mulhern,3,1,11,1,4,2
Pedro Munhoz,4,0,9,0,5,4
Mark Muñoz,6,3,1,2,7,1
Andy Murad,4,2,5,0,6,1
Kazunari Murakami,1,4,3,1,1,0
Vince Murdock,8,3,1,1,2,1
Shinya Murofushi,1,1,6,2,4,1
Lee Murray,4,0,4,1,0,1
Nico Musoke,4,1,5,1,5,3
Ashkan Mokhtarian,6,1,6,1,1,1
Katsuhiko Nagata,1,3,0,2,5,2
Yuji Nagata,0,2,0,0,0,0
Andrews Nakahara,4,1,0,1,1,2
Yuki Nakai,0,0,7,1,1,1
Daisuke Nakamura (fighter),6,3,15,2,7,14
Hiroshi Nakamura (fighter),0,5,2,0,14,2
Kazuhiro Nakamura,5,4,3,3,13,6
Keita Nakamura,7,1,16,1,11,8
Shinsuke Nakamura,0,0,3,1,0,0
Jutaro Nakao,7,3,14,1,5,15
Yoshihiro Nakao,2,1,3,0,3,2
Takumi Nakayama,1,7,7,2,11,7
Tyson Nam,10,3,1,0,7,7
Yui Chul Nam,8,2,1,1,9,5
Yasuhito Namekawa,4,6,16,7,4,3
Yodsanan Sor Nanthachai,3,0,1,1,0,0
Tomasz Narkun,3,1,13,0,1,2
Masayuki Naruse,1,2,7,6,0,3
Roger Narvaez,4,2,2,0,2,0
Unamed,2,3,3,2,0,1
Rafael Natal,4,6,8,0,9,3
Marcio Navarro,4,5,5,3,5,6
Renê Nazare,4,0,4,1,2,2
Dustin Neace,5,3,20,13,0,5
Stanislav Nedkov,6,1,4,1,2,0
Josh Neer,21,3,11,5,4,8
Steve Nelmark,1,1,1,0,0,0
Gunnar Nelson (fighter),4,1,12,0,1,4
Roy Nelson (fighter),14,3,5,0,4,14
Shane Nelson (fighter),4,0,4,1,8,6
Viktor Nemkov,4,1,12,3,12,3
Antônio Braga Neto,1,1,7,0,1,2
Mário Neto,1,1,9,3,2,1
Nick Newell,2,1,11,0,3,1
Carlos Newton,2,3,10,4,4,7
Emanuel Newton,4,2,10,3,12,8
Francis Ngannou,10,0,4,0,0,3
Ben Nguyen,10,6,5,2,3,1
Alex Nicholson (fighter),13,4,1,1,0,3
Matheus Nicolau,4,2,5,0,6,0
Tom Niinimäki,7,1,8,5,7,2
Ramsey Nijem,3,4,2,2,5,1
Hans Nijman,4,1,4,5,0,0
Mats Nilsson,2,1,5,0,4,3
Jack Nilson (fighter),1,1,1,5,0,0
Ning Guangyou,3,0,1,1,1,3
Akiyo Nishiura,5,0,0,0,9,8
Takashi Nishizawa,1,0,0,2,0,0
Anthony Njokuani,9,1,0,4,7,7
Jacob Noe,6,2,5,1,1,0
Alexandre Franca Nogueira,2,4,12,0,4,2
Antônio Rodrigo Nogueira,3,3,21,2,10,5
Luis Nogueira,6,2,5,1,10,5
Kyle Noke,8,1,8,3,6,6
Kimihito Nonaka,0,1,2,3,4,4
K.J. Noons,9,1,0,2,4,6
Sage Northcutt,5,1,3,2,3,0
Jan Nortje,2,2,0,4,0,0
Phillipe Nover,1,1,5,0,5,7
Diego Nunes (fighter),7,2,9,0,7,6
Khabib Nurmagomedov,8,0,10,0,10,0
Jake O'Brien,7,2,3,2,5,0
Sean O'Connell (fighter),12,6,3,2,6,2
Volkan Oezdemir,12,1,1,2,3,1
Naoya Ogawa,2,0,5,2,0,0
Andy Ogle,2,1,3,2,4,3
Carl Malenko,0,0,5,3,1,0
Tomonori Ohara,4,2,0,6,1,3
Dom O'Grady,3,3,6,1,7,4
Kenji Ogusu,0,0,1,0,2,1
Michiyoshi Ohara,0,0,0,0,0,2
Masahiro Oishi,4,7,16,6,4,4
Giant Ochiai,2,1,1,1,0,1
Yushin Okami,11,6,6,1,17,6
Koetsu Okazaki,3,0,1,1,6,3
Mamoru Okochi,1,2,4,3,5,8
Yasunori Okuda,0,2,2,4,0,0
Taisuke Okuno,10,1,0,1,3,10
Aleksei Oleinik,8,7,45,2,4,4
Charles Oliveira,7,4,18,3,2,1
Rafaello Oliveira,4,4,5,2,6,2
Bobby Ologun,0,2,0,0,2,0
Andy Ologun,1,0,0,1,2,0
Brian Olsen,6,1,1,0,1,0
Casey Olson,4,2,4,1,6,1
Sean O'Malley (fighter),6,0,1,0,3,0
Unamed,4,0,10,1,7,8
Chuck O'Neil,6,1,6,3,5,4
Masaya Onodera,1,0,0,1,0,0
Sam Oropeza,7,0,6,2,0,1
Brian Ortega,3,1,7,0,4,0
Dustin Ortiz,8,0,4,1,7,7
Jorge Ortiz (fighter),8,2,5,1,5,6
Tito Ortiz,9,4,5,3,6,5
Kenji Osawa,4,1,2,2,14,8
Shigeki Osawa,8,1,0,0,6,5
Nick Osipczak,2,0,4,0,0,3
Isamu Osugi,0,0,0,5,0,0
John Ott (fighter),2,2,3,2,3,4
Zak Ottow,3,3,10,2,4,2
Alistair Overeem,23,13,17,1,5,3
Valentijn Overeem,12,15,19,18,1,1
Shungo Oyama,4,15,8,3,2,1
Alp Ozkilic,2,2,1,0,6,3
Nick Pace,1,0,5,0,2,3
Joe Pacheco,1,0,4,1,2,1
Damacio Page,11,0,7,8,1,2
Michael Page (fighter),9,1,3,0,3,0
Fredson Paixão,1,1,6,0,4,4
Teemu Packalén,2,2,6,0,0,1
Bart Palaszewski,17,1,11,4,8,12
Soa Palelei,18,2,4,2,0,1
Rousimar Palhares,0,7,16,0,3,3
Luis Palomino,15,5,2,3,9,9
Alexandre Pantoja,7,0,8,0,6,4
Jared Papazian,6,2,2,6,12,5
