Fighter name,Ko wins,Ko losses,Submission wins,Submission losses,Decision wins,Decision losses
Norman Paraisy,3,0,5,3,6,3
Remco Pardoel,2,1,6,4,1,1
Ido Pariente,3,4,5,1,3,1
Karo Parisyan,2,7,12,1,10,4
Norman Parke,4,0,12,2,12,4
Mikkel Parlo,7,1,1,0,5,2
Jorge Patino,12,5,14,3,9,11
Alan Patrick (fighter),4,2,2,0,9,0
Claude Patrick,3,0,9,0,2,2
Erik Paulson,1,2,9,1,1,1
Estevan Payan,7,7,3,1,7,5
Joe Pearson (fighter),4,12,41,19,0,0
Tyson Pedro,2,1,5,1,0,1
Willie Peeters,5,2,2,5,2,0
Eric Pele,5,2,4,0,2,3
Kurt Pellegrino,2,1,10,3,4,3
Sherman Pendergarst,2,11,8,2,1,5
B.J. Penn,7,4,6,1,3,9
Godofredo Pepey,4,3,9,0,1,3
Robbie Peralta,13,2,2,4,4,3
Alejandro Pérez (fighter),9,2,5,3,7,3
Alex Perez (fighter),4,1,6,3,12,1
Érik Pérez,5,0,8,2,6,4
Markus Perez,3,0,5,0,3,2
Anthony Perosh,5,7,10,0,0,3
Thiago Perpétuo,7,2,1,2,1,0
Viktor Pešta,5,3,6,1,4,1
Anthony Pettis,11,2,7,1,4,6
Sergio Pettis,3,1,3,1,12,3
Forrest Petz,12,2,5,4,9,4
Nam Phan,8,4,6,3,7,10
Costas Philippou,7,1,1,0,5,4
Adam Piccolotti,2,0,6,1,4,2
Vinc Pichel,8,1,0,1,4,0
Brad Pickett,7,3,10,5,8,6
Oskar Piechota,5,0,5,2,1,0
Mike Pierce,8,0,1,1,8,6
Sean Pierson,6,3,4,1,4,2
Daniel Pineda (fighter),8,2,18,6,0,5
Mike Polchlopek,1,0,0,0,0,1
Igor Pokrajac,14,6,10,3,4,5
Mike Polchlopek,1,0,0,0,0,1
Polo Reyes,6,5,1,2,1,0
Ruan Potts,5,4,6,0,0,2
Wagner Prado,14,2,0,2,1,0
Trevor Prangley,8,5,14,3,12,3
Carlo Prater,3,1,18,4,12,15
Michel Prazeres,1,0,11,0,14,3
Brent Primus,2,0,5,0,2,1
Eric Prindle,6,4,3,3,2,1
Joe Proctor,2,3,5,1,4,1
Bruno Pucci,1,3,6,0,0,0
Daniel Puder,2,0,3,0,3,0
Jens Pulver,14,8,4,9,9,2
Mike Pyle (fighter),7,8,16,4,4,2
Bao Quach,5,4,4,3,10,3
Nate Quarry,7,2,2,1,3,1
Vinicius Queiroz,6,1,2,1,0,2
José Alberto Quiñónez,2,1,1,1,5,1
Benji Radach,17,5,1,0,3,2
Jordan Radev,5,2,5,0,12,3
Amir Rahnavardi,2,5,5,2,4,3
Ricky Rainey,7,4,1,0,5,2
Hector Ramirez (fighter),4,2,2,1,4,3
Luis Ramos (fighter),4,4,4,0,12,6
Ricardo Ramos (fighter),3,1,6,1,4,0
Kevin Randleman,5,4,4,8,8,4
Ed Ratcliff,5,0,1,2,1,1
Gideon Ray,8,3,8,5,1,7
Rafael Rebello,1,0,6,0,2,4
J.P. Reese,3,1,2,6,6,3
Alex Reid (fighter),3,3,5,1,2,6
Chad Reiner,9,11,18,5,6,2
Jason Reinhardt,3,1,17,2,0,0
Wilson Reis,0,4,10,1,13,5
Dominick Reyes,6,0,2,0,3,0
Yahir Reyes,4,3,8,3,2,1
Gastón Reyno,4,0,4,1,0,1
Eric Reynolds (fighter),8,2,8,4,2,3
Johnny Rhodes (fighter),0,0,2,1,0,0
Alexandre Ribeiro,2,0,0,0,0,0
Saulo Ribeiro,0,1,2,0,0,0
Vítor Ribeiro,2,2,12,0,6,3
Will Ribeiro,5,0,2,1,3,1
Mike Ricci (fighter),6,2,1,0,4,3
Matt Ricehouse,2,0,1,0,3,1
Mike Richman,9,1,7,0,2,7
David Rickels,7,4,6,1,8,1
Matt Riddle,1,1,1,0,5,2
Joe Riggs,27,9,15,6,4,3
Aaron Riley,6,7,13,2,11,5
Mike Rio,4,2,5,2,1,1
Dante Rivera,3,1,8,1,5,5
Francisco Rivera (fighter),8,1,0,3,3,3
Jimmie Rivera,4,1,2,0,16,3
Jorge Rivera (fighter),14,5,2,3,4,1
Pedro Rizzo,12,7,4,0,4,4
Karl Roberson,2,0,3,2,3,0
Andre Roberts (mixed martial artist),5,0,8,2,0,0
Daniel Roberts (fighter),0,1,11,1,4,5
Danny Roberts (fighter),7,3,5,2,4,0
Kenny Robertson,7,1,6,0,2,4
Alvin Robinson,0,3,14,6,1,0
Carlos Eduardo Rocha,1,2,8,0,0,2
Vagner Rocha,3,1,8,1,3,2
Luke Rockhold,6,5,8,0,2,0
Alberto Del Rio,2,2,7,1,0,1
Ricco Rodriguez,14,10,28,1,12,15
Yair Rodríguez,4,2,2,0,5,0
Marcos Rogério de Lima,11,1,3,4,2,1
Brett Rogers,14,3,1,2,2,5
Brian Rogers (fighter),10,4,2,0,2,5
Shane Roller,3,3,6,3,2,1
Ricardo Romero (fighter),4,2,6,0,1,0
Yoel Romero,11,1,0,0,2,3
Jesse Ronson,10,1,6,1,4,7
George Roop,4,5,4,4,7,4
João Roque,0,0,5,0,2,2
Aaron Rosa,6,3,4,2,8,1
Charles Rosa,3,1,7,0,1,2
Jake Rosholt,5,2,6,3,1,0
Jared Rosholt,4,5,3,1,11,1
Nick Rossborough,7,2,14,8,5,10
Ben Rothwell,20,4,13,2,3,6
Rick Roufus,2,1,0,3,2,2
Khalil Rountree Jr.,5,2,0,1,3,1
Maurício Rua,21,5,1,3,4,3
Murilo Rua,9,7,9,0,2,6
Marco Ruas,1,3,8,0,0,1
Gabe Ruediger,4,5,13,2,1,1
Anthony Ruiz,17,3,6,12,11,8
Mike Russow,4,2,8,1,3,0
Ed Ruth,6,0,0,1,1,0
Bas Rutten,13,0,12,3,3,1
Amir Sadollah,0,1,2,0,4,4
Frankie Saenz,3,3,2,0,8,2
Saparbek Safarov,6,1,2,1,1,0
Tarec Saffiedine,1,1,5,0,10,6
Tomoyuki Saito,0,0,2,2,0,1
Yukio Sakaguchi,3,3,2,4,1,0
Augusto Sakai,11,0,0,0,3,1
Kazuhiro Sakamoto,0,0,11,3,2,1
Mitsuhiro Sakamoto,0,0,0,0,2,0
Alessio Sakara,14,6,2,3,4,3
Wataru Sakata,3,2,6,4,2,8
Kazushi Sakuraba,4,10,19,3,3,4
Naoki Sakurada,2,1,5,4,5,1
Hayato Sakurai,12,5,10,4,16,4
Justin Salas,4,4,3,3,5,0
Ivan Salaverry,5,4,5,1,4,3
Marcello Salazar,0,1,6,0,2,0
Sean Salmon,5,10,8,11,5,0
John Salter,7,1,9,3,0,0
Josh Samman,7,1,4,2,1,1
Josh Sampo,0,1,6,1,5,4
Andrew Sanchez,5,3,2,0,4,1
Angelo Sanchez,3,1,7,2,2,3
Diego Sanchez,9,4,7,0,13,8
Eddie Sanchez,8,5,3,1,2,2
Joby Sanchez,4,1,4,1,3,2
Roberto Sanchez (fighter),0,0,7,1,1,1
Hector Sandoval,4,2,2,2,9,0
Marlon Sandro,7,2,7,0,12,5
Naoki Sano,0,2,0,2,0,0
Giva Santana,1,1,16,0,1,2
Jorge Santiago,10,6,13,0,2,6
Bruno Santos,1,1,1,0,16,2
Evangelista Santos,12,12,6,2,3,4
Iliarde Santos,14,5,7,0,11,10
Leonardo Santos (fighter),3,1,9,0,4,2
Luís Santos (fighter),37,5,12,3,16,4
Thiago Santos (fighter),15,3,1,2,5,2
Thiago Santos (heavyweight fighter),2,4,5,1,2,0
Daniel Sarafian,1,2,7,1,3,3
Diego Saraiva,3,4,13,0,4,15
Alexander Sarnavskiy,9,2,19,1,7,4
Yuki Sasaki (mixed martial artist),2,5,15,4,8,13
Ulka Sasaki,2,1,12,3,8,2
Paul Sass,0,0,13,1,1,1
Rumina Sato,5,10,18,5,3,2
Takenori Sato,3,7,8,0,8,5
Ben Saunders (fighter),11,8,6,1,5,3
Townsend Saunders,0,0,0,0,0,2
Irshaad Sayed,4,1,3,0,3,2
Lumumba Sayers,1,1,5,4,0,0
Eric Schafer,3,4,9,1,1,3
Kerry Schall,2,6,17,4,1,3
Eric Schambari,1,1,9,2,5,3
Brendan Schaub,7,4,1,0,2,1
Nino Schembri,1,2,3,0,1,3
Fabiano Scherner,5,9,6,2,0,0
Samy Schiavo,4,1,5,5,1,0
Adam Schindler,1,4,6,0,3,2
Bob Schrijber,16,2,4,10,0,4
Ryan Schultz,10,10,6,3,7,1
Justin Scoggins,6,0,1,4,5,2
Brad Scott (fighter),5,1,5,1,1,4
Neil Seery,6,1,6,6,4,5
Yasuto Sekishima,1,0,4,0,2,2
Pete Sell,0,5,4,0,6,2
Andrei Semenov (fighter),9,2,17,1,8,6
Mackens Semerzier,1,0,7,2,0,2
Alex Serdyukov,3,1,4,2,1,2
Matt Serra,2,2,5,0,4,5
Fredy Serrano,2,0,0,0,1,2
Dan Severn,17,4,60,8,24,7
Kamal Shalorus,4,1,1,3,4,1
Shahbulat Shamhalaev,8,0,1,3,3,0
Frank Shamrock,5,4,13,2,5,3
Ken Shamrock,2,11,23,4,3,2
Eric Shelton (fighter),2,0,5,0,5,6
Sean Sherk,8,2,13,0,15,2
Chase Sherman,13,4,0,0,1,2
Jake Shields,3,4,12,1,18,6
Suguru Shigeno,0,1,0,3,2,1
Kiyotaka Shimizu,9,1,4,1,9,13
Yuya Shirai,4,5,6,1,16,8
Wes Shivers,4,1,4,0,0,0
Alexander Shlemenko,32,2,10,4,16,6
Josh Shockley,3,1,5,2,3,1
Akira Shoji,2,8,5,3,7,6
Yuki Shoujou,1,2,3,1,10,5
Sam Sicilia,8,2,4,6,5,2
Kirill Sidelnikov,6,5,1,0,4,1
Steven Siler,6,5,17,5,8,10
Mighty Mo (kickboxer),9,2,3,3,0,1
Assuerio Silva,5,3,8,2,2,3
Cláudio Silva,2,0,9,0,3,0
Erick Silva,4,4,13,0,3,6
Jay Silva,6,4,3,0,3,8
Joaquim Silva (fighter),6,1,3,0,2,1
Giant Silva,0,4,2,2,0,0
Rafael Silva (fighter),8,1,13,1,8,4
Thiago Silva (fighter),15,4,1,1,5,4
Wanderlei Silva,27,7,1,0,7,7
Elias Silvério,4,1,1,1,11,2
Aaron Simpson (fighter),6,3,1,0,5,2
Heath Sims,3,1,1,1,1,2
Wes Sims,10,6,12,5,0,3
Lodune Sincaid,5,6,9,1,1,2
Rory Singer,1,2,7,4,0,3
Elvis Sinosic,4,7,4,0,0,4
Dennis Siver,5,3,9,5,9,3
Chas Skelly,3,1,10,1,5,2
Shanon Slack,2,0,1,0,3,1
Joe Slick,2,2,12,1,1,2
Ray Sloan,0,0,6,0,2,1
Unamed,3,3,14,4,6,1
Anthony Smith (mixed martial artist),17,8,12,4,2,2
Colton Smith,1,2,2,2,4,1
David Smith (fighter),4,0,1,0,0,1
Jordan Smith (fighter),7,2,8,0,3,5
Scott Smith (fighter),15,5,3,4,0,2
Trevor Smith (fighter),1,4,9,1,5,4
Louis Smolka,7,0,7,2,2,4
André Soares (fighter),0,0,4,0,1,2
Peter Sobotta,5,2,10,1,2,3
Renato Sobral,9,7,15,1,13,4
Sokoudjou,13,13,1,2,4,3
Rambaa Somdet,2,0,1,0,10,3
Joe Son,0,1,0,3,0,0
Chael Sonnen,8,7,4,9,19,1
Sean Soriano,5,1,4,4,2,1
Chandet Sor Prantalay,0,0,0,1,0,0
Krzysztof Soszynski,10,6,11,1,3,5
George Sotiropoulos,1,2,8,0,5,4
Greg Soto,2,2,4,1,3,0
Joe Soto,5,4,10,2,3,1
Bobby Southworth,4,3,4,2,2,1
Cristiano Souza,3,1,3,1,1,0
Kevin Souza,14,0,1,4,1,1
Ronaldo Souza,8,3,14,0,4,4
Chris Spång,4,1,1,0,1,2
Ron Sparks (fighter),22,2,1,1,1,0
Tom Speer,9,3,7,3,5,1
Sean Spencer (fighter),2,2,2,3,8,2
Mário Sperry,3,3,7,0,3,1
Eric Spicely,4,2,6,2,2,1
Ben Spijkers,0,0,0,2,0,0
Waachiim Spiritwolf,8,4,1,1,3,8
Daniel Spitz,2,1,3,0,1,1
Daniel Spohn,7,0,5,1,6,5
Jeremy Spoon,1,1,12,1,7,3
Ron Stallings,6,3,6,1,3,3
Brian Stann,9,2,1,2,2,2
Josh Stansbury,1,2,5,2,2,1
Martin Stapleton,6,0,6,4,5,2
Clifford Starks,3,1,4,2,7,2
Kalib Starnes,5,4,10,2,2,5
Akop Stepanyan,13,2,2,6,8,2
Jeremy Stephens,19,2,2,3,7,11
Aljamain Sterling,2,1,7,0,9,2
Joe Stevenson,7,2,15,5,11,9
Trevor Stewardson,5,0,0,1,0,1
Darren Stewart (fighter),7,0,0,2,3,2
Luke Stewart,3,1,3,0,0,2
Alex Stiebling,3,6,11,0,5,5
Tyler Stinson,19,1,7,5,4,4
Ken Stone (fighter),4,3,6,0,1,1
Rick Story,4,2,5,1,12,7
Sam Stout,9,3,1,3,10,6
Ovince Saint Preux,11,2,8,3,5,8
Dave Strasser,5,1,14,5,6,2
Daniel Straus (MMA),7,2,4,5,15,2
Gerald Strebendt,1,2,8,5,0,0
Sean Strickland,9,1,4,0,7,2
Hans Stringer,9,4,8,1,5,3
Stefan Struve,8,7,18,1,2,3
Masanori Suda,1,3,15,5,6,3
Genki Sudo,1,1,12,0,3,3
George Sullivan (fighter),11,1,0,5,6,1
Amar Suloev,12,2,8,3,3,2
Mitsuhisa Sunabe,9,2,6,0,14,5
Masato Suzuki,0,0,2,3,2,2
Minoru Suzuki,3,5,22,9,4,5
Nobutatsu Suzuki,10,1,0,1,1,0
Mike Swick,8,2,3,1,4,3
Tim Sylvia,20,3,4,4,7,3
Noboru Tahara,5,1,1,0,6,6
Joe Taimanglo,5,2,12,2,7,4
Mairbek Taisumov,15,1,9,1,2,4
Jesse Taitano,2,5,2,0,3,4
Nobuhiko Takada,0,1,2,4,0,1
Kazuo Takahashi,9,18,11,7,9,3
Daiju Takase,1,7,5,1,6,6
Hiroyuki Takaya,15,5,0,1,8,8
Yoshihiro Takayama,1,2,0,2,0,0
Yoshiyuki Takayama,0,0,1,1,2,2
Izuru Takeuchi,3,3,3,2,19,6
Makoto Takimoto,0,1,2,1,4,3
Nordine Taleb,7,3,0,2,8,2
Issei Tamura,4,2,0,5,8,3
Kiyoshi Tamura,6,4,16,3,8,4
Jason Tan,1,2,2,0,2,1
Kenichi Tanaka,0,0,6,1,0,3
Michinori Tanaka,0,0,6,0,7,3
Tomohiro Tanaka (mixed martial artist),2,2,0,2,1,0
Evan Tanner,8,6,21,1,3,1
Manny Tapia,4,2,2,0,6,2
Yuzo Tateishi,0,0,0,3,1,1
Uchu Tatsumi,1,0,5,1,4,0
Unamed,0,0,13,0,4,5
Brad Tavares,5,2,2,0,10,3
Thiago Tavares,4,7,13,0,5,3
Jesse Taylor,6,0,16,14,9,1
Louis Taylor,7,1,7,3,4,0
Paul Taylor (fighter),6,0,2,4,3,4
James Te Huna,10,2,3,6,3,0
Glover Teixeira,17,3,8,0,5,4
John Teixeira,5,1,10,0,8,3
Tra Telligman,2,4,4,0,1,1
Sylvester Terkay,1,1,1,0,1,0
Herman Terrado,8,0,6,2,1,3
David Terrell (fighter),2,1,4,0,0,1
James Terry (fighter),10,0,0,4,10,7
Unamed,6,0,0,1,2,1
Brandon Thatch,7,0,4,4,0,1
Elias Theodorou,6,0,1,0,9,3
Paulo Thiago,2,2,10,1,6,7
James Thompson (fighter),11,13,7,3,2,1
Nick Thompson (fighter),10,6,22,7,6,1
Oli Thompson,8,4,6,2,3,4
Stephen Thompson (fighter),7,1,1,0,6,3
Josh Thomson,6,2,10,0,6,7
Din Thomas,7,2,15,2,4,5
Ryan Thomas (fighter),8,0,11,5,1,3
Sander Thonhauser,7,4,2,4,2,0
Simeon Thoresen,1,2,15,0,1,4
Gleison Tibau,4,4,14,2,17,7
Darren Till,10,1,2,1,5,0
Ricardo Tirloni,9,1,9,2,5,4
Zaza Tkeshelashvili,5,2,2,3,3,0
Hideo Tokoro,5,13,20,6,9,11
Kazuki Tokudome,10,5,3,2,6,3
Takashi Tojo,0,0,0,2,0,0
Shawn Tompkins,0,4,0,0,0,0
Miguel Torres (fighter),9,3,25,3,10,3
Justin Torrey,6,1,0,0,1,1
Roberto Traven,0,2,4,1,2,1
Alexander Trevino,2,2,3,0,1,3
Frank Trigg,10,4,6,4,5,1
Francisco Trinaldo,8,0,5,3,10,4
Tor Troéng,6,0,6,2,4,5
Abel Trujillo,5,1,4,4,5,3
Michail Tsarev,9,4,21,3,2,0
Chris Tuchscherer,12,3,4,0,5,1
Jon Tuck,4,0,5,0,1,5
Jumabieke Tuerxun,6,2,4,3,10,4
Tai Tuivasa,8,1,0,1,1,1
Zubaira Tukhugov,6,1,1,1,11,2
Albert Tumenov,13,0,0,2,8,2
Marcin Tybura,7,4,6,0,4,2
Masakatsu Ueda,2,0,6,2,18,3
Kyuhei Ueno,3,0,5,3,2,2
Ryuki Ueyama,2,4,5,2,5,11
Christian Uflacker,0,0,2,0,3,0
Gasan Umalatov,4,0,7,1,7,4
Caol Uno,2,7,18,3,13,9
Yasuhiro Urushitani,4,1,1,3,16,4
Hayate Usui,0,2,1,1,9,5
Darren Uyenoyama,2,2,4,1,4,3
Unamed,17,3,7,5,5,4
Charlie Valencia,1,3,5,3,6,1
Isaac Vallie-Flagg,5,0,5,3,6,3
Mike van Arsdale,1,1,6,4,1,0
Matt Van Buren,2,4,2,1,3,1
Ron van Clief,0,0,0,1,0,0
Carey Vanier,5,3,4,3,2,0
Paul Varelans,3,7,5,1,1,1
Jamie Varner,7,2,11,5,3,4
Vyacheslav Vasilevsky,13,2,10,2,10,3
Linton Vassell,6,4,8,1,4,3
Javier Vazquez (fighter),0,0,11,0,5,5
Matt Veach,5,0,8,5,4,0
Joe Vedepo,7,5,8,3,2,2
Attila Végh,10,3,12,1,10,5
Cain Velasquez,12,2,0,1,2,0
Unamed,4,1,8,0,3,9
Karlos Vemola,8,0,13,3,6,2
Brandon Vera,11,4,1,0,4,3
Marlon Vera (fighter),4,0,8,0,2,5
Renato Verissimo,6,4,0,0,1,1
Marvin Vettori,2,0,8,0,3,4
Hugo Viana (fighter),1,2,0,0,7,2
Vitor Vianna,5,2,4,0,3,1
James Vick,3,3,5,0,5,1
David Vieira (fighter),0,0,4,0,0,0
Milton Vieira,0,0,9,0,4,8
Steve Vigneault,8,4,2,2,2,0
Alexis Vila,7,1,3,1,5,5
Gian Villante,10,5,2,0,5,6
Joey Villaseñor,13,5,10,1,6,4
Danillo Villefort,6,3,5,0,4,2
Yuri Villefort,4,0,4,2,3,4
Marcos Vinicius (fighter),9,7,15,1,0,3
Brandon Visher,6,1,4,0,3,1
Falaniko Vitale,10,4,16,3,4,3
Bobby Voelker,21,3,4,1,6,9
Alexander Volkanovski,11,1,3,0,6,0
Jacob Volkmann,1,0,8,5,10,2
Alexander Volkov (fighter),20,2,3,2,7,3
Jason Von Flue,1,7,13,4,0,1
Igor Vovchanchyn,41,1,10,6,8,3
Dick Vrij,5,2,2,2,0,0
Chris Wade (fighter),0,0,5,0,11,5
Abe Wagner,7,3,3,4,1,1
TJ Waldburger,1,7,13,0,2,2
Donny Walker,4,3,8,5,3,2
Crafton Wallace,8,2,9,3,1,1
Rodney Wallace (fighter),6,6,3,1,17,9
Jim Wallhead,11,2,10,4,10,5
Cory Walmsley,1,0,6,1,1,1
Richard Walsh (fighter),4,1,1,1,4,2
Erik Wanderley,1,2,2,0,0,1
Curt Warburton,5,1,4,3,5,2
Brennan Ward,9,2,4,4,1,0
Yasushi Warita,1,0,0,4,0,0
Brian Warren,6,5,7,8,5,4
Yuichi Watanabe,0,1,5,1,1,0
Ron Waterman,6,4,8,1,2,1
Tom Watson (fighter),8,0,1,2,8,7
Walel Watson,3,3,11,6,0,3
Royston Wee,0,1,2,0,2,0
Brent Weedman,10,1,9,1,3,7
Daniel Weichel,5,5,22,3,13,3
Allan Weickert,2,3,3,4,1,2
Mark Weir,10,10,10,7,1,1
Christian Wellisch,4,3,3,1,1,1
Fabrício Werdum,6,3,11,0,6,5
Cassio Werneck,0,0,2,0,0,0
Mike Wessel,8,7,1,1,6,0
Ed West (fighter),1,3,11,1,8,6
Sheldon Westcott,3,1,5,0,1,2
Coty Wheeler,3,2,11,1,1,2
Alex White (fighter),5,1,5,1,3,3
Jay White (mixed martial artist),2,5,2,2,0,0
Mike Whitehead,6,4,14,0,6,3
Robert Whittaker (fighter),9,2,5,1,6,2
Justin Wilcox (martial arts),2,4,2,2,10,1
Rob Wilkinson,4,2,6,0,1,0
Mike Wilkinson (fighter),3,1,4,1,2,2
James Wilks,2,1,4,1,1,2
Joe Williams (fighter),4,0,3,1,2,1
Patrick Williams (fighter),4,3,3,1,1,2
Pete Williams (fighter),6,2,4,1,2,3
Steve Williams (wrestler),0,1,0,0,0,0
Tedd Williams,1,0,4,0,2,1
Justin Willis (martial artist),4,1,0,0,4,1
Chris Wilson (fighter),7,1,8,2,3,7
Jonathan Wilson (fighter),6,1,0,0,1,2
Matt Wiman,4,3,5,0,7,5
Eddie Wineland,15,3,4,4,4,6
Andre Winner,4,0,4,3,14,10
Shannon Wiratchai,5,1,2,1,2,3
Eric Wisely,10,0,5,1,10,8
Keith Wisniewski,6,3,15,4,7,8
Travis Wiuff,24,15,25,4,27,3
Brandon Wolff,3,2,0,3,4,1
Lloyd Woodard,5,4,7,0,2,3
Tyron Woodley,7,1,5,0,7,3
Unamed,0,1,0,0,0,0
Eddie Yagin,5,3,5,1,6,3
Rani Yahya,0,2,20,1,6,7
Alexander Yakovlev (fighter),9,0,9,4,6,4
Manabu Yamada,3,4,19,8,1,3
Mikihito Yamagami,3,0,2,1,5,3
Mamoru Yamaguchi,11,1,4,4,16,8
Keiichiro Yamamiya,11,9,3,8,31,18
Kenichi Yamamoto (mixed martial artist),2,7,2,3,1,2
Norifumi Yamamoto,13,1,2,1,3,4
Yoshihisa Yamamoto (wrestler),6,11,7,11,1,3
Goiti Yamauchi,1,0,19,0,4,4
Unamed,4,5,15,5,5,15
Yang Dongi,12,0,1,0,0,3
Yao Zhikui,0,1,1,0,1,3
Emmanuel Yarbrough,0,1,1,1,0,0
Cale Yarbrough,5,1,2,1,1,1
Yoshiaki Yatsu,0,2,0,0,0,0
Melvin Yeoh,3,2,3,0,1,1
Hirotaka Yokoi,2,4,5,1,4,0
Kazunori Yokota,4,2,5,1,16,3
Tetsuo Yokoyama,0,0,1,2,0,0
Yoon Dong-sik,0,6,5,0,4,4
Jim York (fighter),6,2,9,2,1,1
Hidehiko Yoshida,0,2,8,1,1,5
Yoshiyuki Yoshida,8,3,6,0,3,6
Jason Young (fighter),3,1,1,3,5,2
Savant Young,3,1,5,5,3,3
Gilbert Yvel,33,4,7,3,0,6
Marius Žaromskis,15,5,1,0,5,4
Shamil Zavurov,11,1,5,2,20,2
Mikhail Zayats,4,3,12,2,8,3
João Zeferino,4,4,16,0,4,5
Roman Zentsov,11,5,4,6,3,1
Zhang Lipeng,9,1,11,5,7,5
Zhang Tiequan,3,1,12,0,0,3
Unamed,8,4,2,1,1,1
Nikolai Zouev,0,0,0,2,0,0
